Problem,Package,File,Priority,Line,Description,Rule set,Rule
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_ru.properties,2,31,Property 'field.password.notallowed.chars' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_ru.properties,2,32,Property 'field.password.min.one.number' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_ru.properties,2,33,Property 'field.password.min.one.uppercase' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_ru.properties,2,34,Property 'field.password.min.one.special.char' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_ru.properties,2,35,Property 'field.password.min.six.characters' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/dr/db.properties,1,4,Properties file contains a managed property 'db.url'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/dr/db.properties,1,5,Properties file contains a managed property 'db.driver'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/dr/db.properties,1,6,Properties file contains a managed property 'db.username'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/dr/db.properties,2,6,Property 'db.username' contains the key '.username' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/dr/db.properties,2,6,Property 'db.username' contains the key '.user' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/dr/db.properties,1,7,Properties file contains a managed property 'db.password'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/dr/db.properties,2,7,Property 'db.password' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/dr/db.properties,1,12,Properties file contains a managed property 'tenant.restart.on.connection.error'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_es_CO.properties,2,31,Property 'field.password.notallowed.chars' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_es_CO.properties,2,32,Property 'field.password.min.one.number' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_es_CO.properties,2,33,Property 'field.password.min.one.uppercase' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_es_CO.properties,2,34,Property 'field.password.min.one.special.char' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_es_CO.properties,2,35,Property 'field.password.min.six.characters' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_zh.properties,2,31,Property 'field.password.notallowed.chars' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_zh.properties,2,32,Property 'field.password.min.one.number' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_zh.properties,2,33,Property 'field.password.min.one.uppercase' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_zh.properties,2,34,Property 'field.password.min.one.special.char' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/WEB-INF/messages/messages_zh.properties,2,35,Property 'field.password.min.six.characters' contains the key '.password' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/sim/local.properties,1,5,Properties file contains a managed property 'java.mem'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/sim/local.properties,1,13,Properties file contains a managed property 'clustermode'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/sim/local.properties,1,14,Properties file contains a managed property 'cluster.broadcast.methods'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/sim/local.properties,2,25,Property 'jco.client.user' contains the key '.user' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/sim/local.properties,2,30,Property 'jco.system.id' contains the key '.id' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/qa3/local.properties,1,8,Properties file contains a managed property 'java.mem'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/qa3/local.properties,1,10,Properties file contains a managed property 'regioncache.entityregion.size'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/qa3/local.properties,1,23,Properties file contains a managed property 'clustermode'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/qa3/local.properties,1,24,Properties file contains a managed property 'cluster.broadcast.methods'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/qa3/local.properties,2,40,Property 'jco.client.user' contains the key '.user' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/qa3/local.properties,2,45,Property 'jco.system.id' contains the key '.id' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/resources/localization/b2btechretailstorecockpits-locales_hi.properties,2,32,Property 'desktop.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/resources/localization/b2btechretailstorecockpits-locales_hi.properties,2,33,Property 'mobile.ui.experience.label.key' contains the key '.key' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/vagrant/local.properties,1,8,Properties file contains a managed property 'java.mem'.,Commerce Incompatibilities,ManagedPropertiesValidation
"",,/b2btechretailstore/repository/hybris/env/vagrant/local.properties,2,15,Property 'jco.client.user' contains the key '.user' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
"",,/b2btechretailstore/repository/hybris/env/vagrant/local.properties,2,20,Property 'jco.system.id' contains the key '.id' which seems to contains sensitive information,Commerce Incompatibilities,ValidateSensitiveKey
